srcid,Mode,A1,A2,undecided_voter,A3a,A4_a,A4_b,A4_c,A4_d,A4_e,A5_a,A5_b,A5_c,A5_d,A5_e,A5_f,A5_g,A5_h,B1_a,B1_b,B1_c,B1_d,B4,B5,B6,C1_a,C1_b,C1_c,C1_d,C1_e,C1_f,C1_g,C1_h,C1_i,C3_a,C3_b,C3_c,C3_d,C3_e,C3_f,D1_a,D1_b,D1_c,D1_d,D1_e,D1_f,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E10,E14,p_volunteer,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4A5_agg,opinionated
298,”1”,2,”1”,FALSE,8,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,”1”,3,2,1,1,0.222222222,FALSE
299,”1”,2,”4”,FALSE,5,3,2,2,2,2,1,4,3,3,4,4,3,2,2,2,2,2,3,3,4,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,4,1,1,2,2,2,2,2,1,2,2,4,3,2,”2”,4,1,1,1,0.361111111,FALSE
300,”1”,2,”1”,FALSE,8,2,3,2,2,2,2,4,4,3,3,4,3,3,2,2,2,1,3,2,4,1,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,”1”,2,2,1,1,0.305555556,FALSE
301,”1”,2,”1”,FALSE,6,2,3,2,1,1,2,3,4,2,5,2,4,4,2,2,2,2,2,2,4,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,”1”,3,1,1,1,0.55,TRUE
302,”1”,2,”1”,FALSE,8,2,2,3,1,2,2,3,4,2,2,2,3,3,2,2,2,1,2,2,4,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,4,2,5,3,3,3,2,2,2,2,2,1,1,2,7,2,1,”2”,3,2,1,1,0.4,FALSE
303,”1”,2,”1”,FALSE,8,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,4,4,3,2,2,2,2,2,2,1,1,2,2,8,2,2,”2”,3,2,1,1,0.361111111,FALSE
304,”1”,2,”1”,FALSE,8,2,3,2,1,1,2,4,4,2,4,3,4,4,2,2,2,2,2,2,4,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,8,2,1,”1”,4,2,1,1,0.522222222,TRUE
305,”2”,2,”3”,FALSE,7,1,1,1,1,1,1,3,4,1,4,2,1,4,2,2,2,1,3,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,3,4,2,3,2,2,2,2,2,2,2,2,2,4,2,1,”1”,3,1,1,1,0.805555556,TRUE
306,”2”,2,”3”,FALSE,9,2,2,2,1,1,2,4,4,2,4,3,2,3,2,2,2,2,4,3,4,2,1,1,1,-98,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,1,”2”,4,1,1,1,0.494444444,FALSE
307,”1”,4,”4”,FALSE,4,3,3,3,3,3,4,2,2,4,2,4,4,2,1,2,1,1,,2,4,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,4,5,5,5,5,5,1,2,2,2,2,2,2,2,1,1,2,”2”,1,1,1,1,0.416666667,FALSE
308,”1”,2,”1”,FALSE,8,2,2,2,2,2,2,2,3,3,3,2,5,4,2,2,2,2,3,2,5,2,1,1,1,1,-99,1,1,-99,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,7,1,2,”2”,4,2,1,1,0.361111111,FALSE
309,”2”,2,”1”,FALSE,8,3,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,4,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,”2”,4,,1,1,0.416666667,FALSE
310,”1”,2,”1”,FALSE,7,1,2,2,2,2,2,3,4,2,3,3,2,3,2,2,2,1,3,2,4,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,3,2,”1”,3,3,1,1,0.372222222,FALSE
311,”2”,5,”3”,FALSE,3,3,3,3,1,2,2,5,2,2,1,2,1,1,2,2,2,1,3,1,4,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,3,3,3,2,3,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,3,1,1,0.622222222,TRUE
312,”1”,2,”4”,FALSE,8,3,2,3,2,2,2,3,4,4,4,4,3,4,2,2,2,2,3,3,4,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,-98,7,2,1,”1”,4,3,1,1,0.361111111,FALSE
313,”1”,2,”3”,FALSE,6,2,2,3,2,2,3,4,3,4,2,2,3,2,2,2,2,1,2,1,4,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,1,2,2,”2”,3,2,1,1,0.333333333,FALSE
314,”1”,2,”1”,FALSE,6,1,2,1,2,1,2,2,4,3,2,3,3,3,2,2,2,2,3,3,4,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,4,3,2,2,1,2,2,2,2,2,2,2,1,1,1,”1”,2,2,1,1,0.505555556,TRUE
315,”1”,2,”3”,FALSE,0,4,3,4,3,4,2,1,1,5,1,5,1,1,2,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,4,4,2,”2”,3,3,1,1,0.811111111,TRUE
316,”1”,2,”3”,FALSE,8,2,3,1,2,2,2,2,4,4,3,3,4,2,2,2,2,1,2,2,5,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2,3,2,3,2,1,1,2,2,2,2,2,1,1,2,7,1,2,”2”,3,3,1,1,0.427777778,FALSE
317,”2”,2,”96”,FALSE,,1,1,2,1,2,2,4,4,4,4,1,2,4,2,2,2,2,3,2,5,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,4,1,1,2,1,1,1,2,1,2,1,2,2,2,4,3,1,”1”,2,3,1,1,0.644444444,TRUE
318,”2”,3,”1”,FALSE,8,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,2,3,2,4,-99,1,1,-99,-99,-99,-99,-99,-99,1,-99,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,”2”,4,2,1,1,0.25,FALSE
319,”1”,5,”1”,FALSE,10,1,1,1,1,1,2,4,4,2,5,4,5,4,2,2,2,2,3,2,5,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,4,1,1,”1”,4,1,1,1,0.833333333,TRUE
320,”1”,2,”1”,FALSE,8,1,3,1,1,2,2,4,4,2,4,2,4,4,2,2,2,1,3,2,4,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,7,3,2,”2”,4,2,1,1,0.616666667,TRUE
321,”1”,1,”1”,FALSE,7,1,1,1,1,1,2,5,5,2,5,4,4,5,2,2,2,1,2,2,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,4,2,3,3,2,3,1,2,2,2,2,2,2,2,1,3,2,”1”,4,1,1,1,0.888888889,TRUE
322,”1”,2,”96”,FALSE,5,3,3,2,1,2,3,4,3,3,4,2,4,3,2,2,2,1,3,2,5,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,3,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,”1”,3,3,1,1,0.372222222,FALSE
323,”1”,2,”1”,FALSE,,2,2,2,2,2,2,3,4,3,4,2,3,3,2,2,2,1,3,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,2,2,2,2,2,-99,7,2,2,”2”,3,3,1,1,0.305555556,FALSE
324,”1”,2,”1”,FALSE,9,2,2,2,2,2,2,3,4,2,4,2,4,4,2,2,2,1,4,3,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,”2”,3,1,1,1,0.388888889,FALSE
325,”1”,4,”3”,FALSE,8,4,3,3,2,3,3,2,4,3,3,2,2,3,2,2,2,2,4,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”2”,4,2,1,1,0.372222222,FALSE
326,”1”,4,”3”,FALSE,5,2,3,2,3,2,3,3,5,4,3,5,1,2,2,2,2,2,4,4,4,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,3,3,1,3,1,1,1,2,2,2,2,2,1,2,1,1,2,”2”,2,1,2,2,0.416666667,FALSE
327,”2”,4,”1”,FALSE,8,2,3,3,2,2,2,4,4,4,1,1,2,4,2,2,2,2,3,2,1,1,1,1,1,1,-99,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,7,2,2,”1”,4,2,2,2,0.472222222,FALSE
328,”2”,3,”3”,FALSE,7,3,2,1,1,2,2,2,4,2,2,-99,4,4,2,2,2,2,3,2,5,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,7,1,1,”1”,4,1,2,2,3.327777778,FALSE
329,”1”,4,”2”,FALSE,5,2,3,3,2,2,2,2,2,4,3,2,1,4,2,2,2,1,3,1,4,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,3,1,1,2,2,2,2,2,1,2,2,4,2,2,”1”,4,3,2,2,0.416666667,FALSE
330,”1”,1,”2”,FALSE,9,2,2,2,2,2,2,4,4,2,4,2,2,4,2,2,2,1,3,2,4,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,4,2,1,”2”,3,2,2,2,0.444444444,FALSE
331,”1”,4,”3”,FALSE,7,3,3,2,3,3,1,2,3,5,3,4,4,2,2,2,2,1,3,2,5,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,3,1,2,1,1,1,2,2,2,2,2,1,1,2,4,3,1,”2”,4,1,2,2,0.416666667,FALSE
332,”2”,1,”3”,FALSE,,2,2,2,2,2,3,3,5,3,4,1,5,3,2,2,2,1,3,2,4,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,3,1,3,2,2,2,2,2,1,1,1,4,2,2,”1”,4,2,2,2,0.416666667,FALSE
333,”1”,4,”1”,FALSE,,2,2,3,2,2,2,2,2,4,2,4,3,2,2,2,2,1,3,2,4,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,3,2,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,”2”,3,1,2,2,0.388888889,FALSE
334,”1”,2,”1”,FALSE,6,2,3,3,2,2,3,3,3,3,4,3,3,4,2,2,2,2,3,3,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,3,2,1,1,1,1,1,2,2,2,2,2,2,2,7,1,2,”2”,4,1,2,2,0.25,FALSE
335,”1”,2,”1”,FALSE,8,1,2,2,1,1,2,5,4,4,4,4,4,4,2,2,2,1,3,2,4,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,3,1,2,3,1,1,2,2,2,2,2,1,2,2,4,2,1,”1”,4,3,2,2,0.644444444,TRUE
336,”1”,4,”-98”,TRUE,4,3,3,3,4,3,5,1,1,5,2,2,1,1,2,2,2,1,1,1,5,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,4,4,5,5,3,3,2,2,1,2,1,2,1,1,5,4,1,”1”,2,1,2,2,0.65,TRUE
337,”2”,1,”96”,FALSE,10,2,1,1,1,1,3,1,3,2,1,2,5,3,2,2,2,1,3,2,4,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,3,1,1,4,1,1,2,2,2,2,1,1,1,2,4,2,2,”2”,4,3,2,2,0.711111111,TRUE
338,”2”,2,”1”,FALSE,10,2,2,2,2,2,2,2,4,4,4,2,2,4,2,2,2,1,4,3,4,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,5,5,5,5,5,4,2,2,2,2,1,1,2,2,4,3,2,”2”,4,3,2,2,0.416666667,FALSE
339,”1”,2,”4”,FALSE,6,3,2,2,1,1,2,2,2,4,3,4,4,2,2,2,2,1,2,2,4,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,3,2,3,2,1,1,1,2,2,2,2,2,1,2,1,1,1,”1”,3,1,2,2,0.522222222,TRUE
340,”1”,4,”3”,FALSE,5,3,2,2,1,1,2,4,3,4,2,5,5,4,2,2,2,1,3,3,5,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,3,4,3,2,1,1,1,2,2,2,2,2,2,1,1,1,”1”,1,1,2,2,0.577777778,TRUE
341,”1”,2,”3”,FALSE,,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,”2”,3,3,2,2,0.222222222,FALSE
342,”2”,1,”1”,FALSE,10,1,1,1,2,1,1,1,5,1,5,1,5,5,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,-98,2,2,2,1,2,2,1,3,2,3,2,2,2,2,2,2,1,2,1,7,-98,2,”1”,4,3,2,2,0.933333333,TRUE
343,”1”,2,”4”,FALSE,6,2,1,1,1,1,1,2,2,2,2,4,1,2,2,2,2,1,4,2,5,1,1,1,1,-99,-99,1,1,-99,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”2”,4,1,2,2,0.738888889,TRUE
344,”1”,2,”1”,FALSE,8,1,1,1,2,1,2,4,4,2,4,4,4,4,2,2,2,1,1,1,5,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,”2”,3,2,2,2,0.683333333,TRUE
345,”2”,2,”3”,FALSE,,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,1,3,2,5,2,1,1,2,-98,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,4,3,2,”2”,3,,2,2,0.416666667,FALSE
346,”1”,2,”3”,FALSE,8,3,3,2,2,2,2,3,4,4,4,4,4,4,2,2,2,1,3,2,4,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,4,1,1,”1”,4,1,2,2,0.388888889,FALSE
347,”2”,2,”3”,FALSE,8,2,2,2,1,1,2,4,4,2,4,2,4,4,2,2,2,1,3,2,5,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,4,1,1,”1”,4,1,2,2,0.55,TRUE
348,”1”,2,”1”,FALSE,7,3,3,3,2,2,3,2,2,4,3,2,3,2,2,2,2,1,3,2,4,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,-98,4,2,1,”2”,4,2,2,2,0.333333333,FALSE
349,”1”,4,”-98”,TRUE,4,3,2,2,1,2,2,3,2,3,3,1,2,2,2,2,2,1,3,2,4,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,”2”,3,1,2,2,0.427777778,FALSE
350,”2”,2,”1”,FALSE,9,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,4,2,1,”1”,4,2,2,2,0.483333333,FALSE
351,”1”,2,”4”,FALSE,8,2,2,2,2,3,3,3,4,2,4,2,3,3,2,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”2”,3,2,2,2,0.305555556,FALSE
352,”1”,4,”1”,FALSE,5,3,2,3,4,2,4,3,2,5,2,4,3,3,2,2,1,1,2,1,4,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,”2”,3,3,2,2,0.427777778,FALSE
353,”2”,1,”1”,FALSE,8,3,3,1,1,2,2,3,2,4,1,1,1,1,2,2,1,2,2,3,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,4,3,2,”2”,4,,2,2,0.661111111,TRUE
354,”1”,4,”11”,FALSE,6,2,-98,4,1,2,2,2,4,3,4,4,4,4,2,2,2,1,3,2,4,2,1,1,1,-99,-99,2,1,-99,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,4,3,1,”2”,3,3,2,2,7.188888889,FALSE
355,”1”,2,”2”,FALSE,9,2,3,2,2,3,3,2,3,2,3,2,3,3,2,2,2,1,2,1,5,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,3,1,3,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”2”,4,3,2,2,0.277777778,FALSE
356,”1”,5,”96”,FALSE,1,4,3,4,2,2,3,1,1,5,1,4,2,1,2,2,2,1,2,1,3,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,4,4,4,5,4,5,2,2,2,1,-98,2,1,-98,4,3,1,”2”,2,3,2,2,0.688888889,TRUE
357,”1”,2,”1”,FALSE,6,2,2,1,2,2,2,4,4,3,4,2,2,4,2,2,2,1,3,1,5,2,1,1,2,2,-99,1,1,2,2,2,1,1,1,2,3,3,2,3,2,2,2,2,2,2,2,1,1,1,4,2,2,”1”,4,2,2,2,0.455555556,FALSE
358,”1”,2,”1”,FALSE,,2,3,3,2,1,2,2,2,4,3,4,2,2,2,2,2,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,2,3,1,1,1,2,2,2,2,2,1,-99,1,-99,2,”2”,3,2,2,2,0.455555556,FALSE
359,”1”,2,”1”,FALSE,8,1,2,1,1,2,2,2,3,3,3,1,2,3,2,2,2,1,3,2,2,1,1,1,1,1,-98,2,1,1,1,1,1,2,1,2,3,2,3,3,3,3,1,2,2,2,2,1,1,-98,2,1,1,”1”,4,1,2,2,0.533333333,TRUE
360,”2”,1,”2”,FALSE,,1,2,1,1,1,2,4,1,2,4,2,3,5,2,2,2,1,-98,1,5,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,7,1,2,”2”,4,3,2,2,0.738888889,TRUE
361,”1”,4,”3”,FALSE,9,3,2,2,2,2,2,3,3,4,3,4,1,4,2,2,2,1,1,1,5,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,4,1,2,”2”,4,1,2,2,0.361111111,FALSE
362,”1”,1,”2”,FALSE,10,2,2,2,2,2,1,4,4,2,4,2,4,4,2,2,2,2,3,2,5,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,1,”1”,4,1,2,2,0.472222222,FALSE
363,”1”,2,”1”,FALSE,8,2,2,2,2,2,2,4,4,3,3,4,3,4,2,2,2,2,4,4,4,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,3,2,1,”2”,3,3,2,2,0.333333333,FALSE
364,”2”,2,”3”,FALSE,7,2,2,2,2,2,2,4,2,3,4,3,3,2,2,2,2,2,3,3,4,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,4,1,1,2,2,2,2,2,1,1,1,2,4,2,1,”1”,3,2,2,2,0.333333333,FALSE
365,”1”,4,”1”,FALSE,4,2,3,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2,3,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,4,3,3,3,2,2,2,2,2,2,1,2,1,2,1,”2”,2,2,2,2,0.305555556,FALSE
366,”1”,2,”4”,FALSE,8,2,2,2,2,2,2,4,4,2,3,4,1,4,2,2,2,1,4,2,5,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,4,3,4,1,2,2,2,2,2,2,2,1,1,1,”2”,2,1,2,2,0.416666667,FALSE
367,”1”,1,”1”,FALSE,9,2,3,3,1,1,2,3,3,3,3,3,4,4,2,2,2,2,4,4,3,2,1,1,1,-98,-98,2,-98,-98,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,7,1,1,”2”,4,3,2,2,0.438888889,FALSE
368,”1”,4,”1”,FALSE,8,3,3,3,2,2,1,4,3,4,2,2,4,4,2,2,2,2,3,4,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,7,1,1,”1”,4,1,2,2,0.416666667,FALSE
369,”2”,1,”1”,FALSE,9,1,3,-98,1,1,2,4,4,2,4,-98,4,4,2,2,2,1,3,2,4,-99,1,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,6,2,2,”2”,4,3,2,2,10.08888889,FALSE
370,”1”,2,”3”,FALSE,6,3,2,2,1,2,1,4,4,3,4,4,5,3,2,2,2,1,3,2,5,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,”1”,3,1,6,6,0.483333333,FALSE
371,”1”,2,”96”,FALSE,7,2,2,2,2,2,2,3,3,3,4,4,3,3,2,2,2,2,3,2,5,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,2,3,1,1,2,2,2,2,2,1,2,2,7,1,1,”2”,4,1,6,6,0.277777778,FALSE
372,”1”,2,”1”,FALSE,8,2,3,2,1,3,3,3,2,2,2,3,3,2,2,2,2,1,3,2,5,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,3,2,3,3,2,1,2,2,2,2,1,1,2,2,4,2,2,”2”,4,,6,6,0.372222222,FALSE
373,”2”,2,”3”,FALSE,8,3,3,3,4,3,2,2,1,4,2,2,2,2,2,2,2,1,3,2,4,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,5,5,3,1,2,1,2,2,2,2,2,1,2,1,2,1,”2”,3,,6,6,0.511111111,TRUE
374,”1”,4,”3”,FALSE,,4,2,3,2,2,1,3,3,3,3,5,4,2,2,2,2,2,4,4,4,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,”1”,2,1,6,6,0.427777778,FALSE
375,”2”,1,”1”,FALSE,10,1,2,1,1,1,2,3,4,4,4,2,4,3,2,2,2,1,2,1,5,2,1,1,-98,-98,-98,2,2,2,2,2,1,1,1,-98,1,1,1,1,1,1,2,2,2,2,2,1,1,2,8,2,2,”2”,4,2,6,6,0.655555556,TRUE
376,”2”,1,”1”,FALSE,8,1,2,2,2,2,2,3,4,2,4,4,4,4,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,4,2,1,”2”,4,2,6,6,0.483333333,FALSE
377,”1”,4,”4”,FALSE,,3,3,3,2,2,4,3,2,4,2,3,2,1,2,2,2,1,3,3,5,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,”1”,1,3,6,6,0.388888889,FALSE
378,”1”,2,”1”,FALSE,5,1,2,2,2,2,2,4,4,2,4,2,4,4,2,2,2,1,3,2,5,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,2,2,3,3,1,2,2,2,2,2,1,1,2,4,2,2,”2”,4,1,6,6,0.483333333,FALSE
379,”1”,2,”1”,FALSE,6,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,2,2,4,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,3,3,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,”2”,2,2,6,6,0.305555556,FALSE
380,”1”,2,”1”,FALSE,7,2,3,2,1,3,3,3,2,4,3,2,3,3,2,2,2,2,3,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,3,3,2,2,2,2,2,1,2,2,4,2,1,”2”,3,3,6,6,0.344444444,FALSE
381,”1”,1,”96”,FALSE,,3,2,2,1,2,3,3,2,4,2,2,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,3,4,2,3,1,2,2,2,2,2,2,2,1,1,6,2,2,”2”,3,2,6,6,0.427777778,FALSE
382,”1”,4,”30”,FALSE,4,3,3,3,3,4,3,2,2,4,2,2,1,2,2,2,2,1,2,2,4,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,3,2,1,1,1,1,2,2,2,2,1,2,1,2,1,”2”,2,1,6,6,0.483333333,FALSE
383,”1”,2,”3”,FALSE,8,2,1,1,2,1,2,3,3,3,4,5,4,3,2,2,2,1,2,1,5,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,3,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,”1”,3,2,2,2,0.533333333,TRUE
384,”2”,1,”1”,FALSE,,1,2,1,1,1,1,4,4,1,4,1,4,5,2,2,2,1,3,1,5,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,5,1,1,2,2,2,2,1,1,1,2,4,3,2,”2”,4,3,2,2,0.822222222,TRUE
385,”2”,2,”1”,FALSE,10,1,1,2,1,1,2,3,-98,2,4,2,2,4,1,2,2,1,,1,2,2,1,1,1,1,1,2,1,-98,1,1,2,2,2,1,4,3,3,4,3,3,1,2,2,2,2,2,1,2,1,1,2,”2”,3,3,2,2,3.433333333,FALSE
386,”1”,2,”3”,FALSE,8,2,1,1,1,1,2,4,4,3,3,4,4,4,2,2,2,1,3,2,5,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,”1”,4,1,2,2,0.627777778,TRUE
387,”1”,1,”1”,FALSE,8,2,3,4,2,3,3,4,5,3,4,3,4,5,2,2,2,2,3,2,-99,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,7,2,1,”2”,4,3,2,2,0.483333333,FALSE
388,”2”,2,”3”,FALSE,5,3,3,2,2,2,2,3,3,3,4,4,4,2,2,2,2,1,2,2,4,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,4,2,1,2,2,2,2,2,2,1,2,2,4,2,2,”2”,4,2,2,2,0.333333333,FALSE
389,”1”,4,”3”,FALSE,4,2,2,2,2,2,4,4,4,4,4,4,5,4,2,2,2,1,2,2,5,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,7,2,2,”2”,3,1,2,2,0.444444444,FALSE
390,”1”,2,”1”,FALSE,,1,2,2,1,1,1,4,4,2,4,5,4,4,2,2,2,2,3,2,5,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,1,2,2,0.672222222,TRUE
